"Begin Time - hh:mm:ss.ms","CommentsIL","DimensionIL","Dimension","HandshapeIL","Handshape","File",
00:07:13.485,,,"none",,"other","bi14_1t_AG_PC_IL.eaf"
00:08:30.670,,,"vert",,"none","bi14_1t_AG_PC_IL.eaf"
00:09:25.302,,,"none",,"neutral grip","bi14_1t_AG_PC_IL.eaf"
00:07:46.605,"I think I see two gestures here: one made with two hands, where I clearly see a size dimension and a wide grip; and a second one, made with her right hand, where I don't think there's a size dimension but there's still a neutral grip in the shape of the hand. I considered the first in the annotation.","size","none","wide grip","neutral grip","bi14_2s_PC_IL.eaf"
00:00:31.520,,,"none",,"wide grip","bi14_2s_PC_IL.eaf"
00:05:50.800,,,"none",,"narrow grip","bi14_2s_PC_IL.eaf"
00:14:02.580,,,"vert",,"flat V","bi14_2s_PC_IL.eaf"
00:14:04.190,,,"none",,"narrow grip","bi14_2s_PC_IL.eaf"
00:05:19.290,"At the very end it looks like a pointing, but I considered only the first one.","vert","vert","other","open","bi15_1s_PC_IL.eaf"
00:00:33.490,,"none","none","point","other","bi15_1s_PC_IL.eaf"
00:04:15.200,,"none","none","other","open","bi15_1s_PC_IL.eaf"
00:04:48.395,,"size","size","wide grip","open","bi15_1s_PC_IL.eaf"
00:07:43.710,,"vert","none","flat H","flat H","bi15_1s_PC_IL.eaf"
00:07:45.430,,"none","none","point","point","bi15_1s_PC_IL.eaf"
00:10:07.945,,"vert","vert","flat H","flat H","bi15_1s_PC_IL.eaf"
00:01:12.790,,,"none",,"other","bi15_1s_PC_IL.eaf"
00:01:52.860,,,"none",,"narrow grip","bi15_1s_PC_IL.eaf"
00:01:54.790,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:01:57.710,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:02:24.210,,,"size",,"open","bi15_1s_PC_IL.eaf"
00:02:31.640,,,"size",,"open","bi15_1s_PC_IL.eaf"
00:03:09.090,,,"none",,"other","bi15_1s_PC_IL.eaf"
00:03:35.110,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:03:45.045,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:04:44.090,,,"size",,"open","bi15_1s_PC_IL.eaf"
00:05:23.550,,,"vert",,"flat H","bi15_1s_PC_IL.eaf"
00:05:55.580,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:06:03.370,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:06:04.480,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:07:15.055,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:08:11.580,,,"vert",,"flat H","bi15_1s_PC_IL.eaf"
00:08:19.840,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:08:41.270,,,"vert",,"open","bi15_1s_PC_IL.eaf"
00:08:42.580,,,"none",,"open","bi15_1s_PC_IL.eaf"
00:08:45.300,,,"none",,"wide grip","bi15_1s_PC_IL.eaf"
00:10:04.865,,,"vert",,"flat H","bi15_1s_PC_IL.eaf"
00:01:42.288,"I had some problems with this one, 'cause it may looks like she is indicating the size of something. Eventually I decided to look only at the right hand, though, as it is the only one which is actually moving. Looking only at that I could think about a vertical dimension, but I've been pretty insecure on this one.","vert","vert","other","flat H","bi15_2t_AG_PC_IL.eaf"
00:00:28.419,,"vert","vert","flat H","flat H","bi15_2t_AG_PC_IL.eaf"
00:01:00.802,,,"vert",,"flat H","bi15_2t_AG_PC_IL.eaf"
00:01:04.053,,,"none",,"narrow grip","bi15_2t_AG_PC_IL.eaf"
00:02:20.444,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:02:55.293,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:03:17.971,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:03:25.784,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:04:34.874,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:05:25.629,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:06:02.196,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:07:07.150,,,"size",,"open","bi15_2t_AG_PC_IL.eaf"
00:07:23.268,,,"none",,"other","bi15_2t_AG_PC_IL.eaf"
00:07:32.223,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:08:07.949,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:08:36.928,,,"none",,"narrow grip","bi15_2t_AG_PC_IL.eaf"
00:08:40.193,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:08:42.084,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:09:18.647,,,"none",,"neutral grip","bi15_2t_AG_PC_IL.eaf"
00:09:21.770,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:10:09.977,,,"none",,"open","bi15_2t_AG_PC_IL.eaf"
00:04:33.884,,"size","none","wide grip","neutral grip","bi16_1t_AG_PC_IL.eaf"
00:07:35.193,,"vert","vert","neutral grip","open","bi16_1t_AG_PC_IL.eaf"
00:00:46.978,,,"none",,"neutral grip","bi16_1t_AG_PC_IL.eaf"
00:00:47.410,,,"none",,"neutral grip","bi16_1t_AG_PC_IL.eaf"
00:01:09.132,,,"none",,"wide grip","bi16_1t_AG_PC_IL.eaf"
00:01:52.871,,,"none",,"neutral grip","bi16_1t_AG_PC_IL.eaf"
00:03:08.107,,,"none",,"other","bi16_1t_AG_PC_IL.eaf"
00:04:29.718,,,"none",,"other","bi16_1t_AG_PC_IL.eaf"
00:06:40.985,,,"none",,"open","bi16_1t_AG_PC_IL.eaf"
00:07:13.733,,,"vert",,"wide grip","bi16_1t_AG_PC_IL.eaf"
00:07:32.228,,,"vert",,"open","bi16_1t_AG_PC_IL.eaf"
00:07:33.352,,,"vert",,"open","bi16_1t_AG_PC_IL.eaf"
00:07:36.745,,,"vert",,,"bi16_1t_AG_PC_IL.eaf"
00:01:05.940,,"none","none","wide grip","neutral grip","bi16_2s_PC_IL.eaf"
00:02:22.120,,"vert","none","neutral grip","open","bi16_2s_PC_IL.eaf"
00:04:43.480,,"vert","vert","wide grip","wide grip","bi16_2s_PC_IL.eaf"
00:06:22.300,,"vert","vert","other","other","bi16_2s_PC_IL.eaf"
00:00:19.260,,,"size",,"wide grip","bi16_2s_PC_IL.eaf"
00:00:23.130,,,"none",,"wide grip","bi16_2s_PC_IL.eaf"
00:00:24.460,,,"none",,"wide grip","bi16_2s_PC_IL.eaf"
00:00:41.640,,,"size",,"neutral grip","bi16_2s_PC_IL.eaf"
00:01:12.660,,,"none",,"neutral grip","bi16_2s_PC_IL.eaf"
00:01:13.840,,,"none",,"neutral grip","bi16_2s_PC_IL.eaf"
00:01:55.740,,,"size",,"narrow grip","bi16_2s_PC_IL.eaf"
00:02:00.980,,,"none",,"open","bi16_2s_PC_IL.eaf"
00:04:03.980,,,"vert",,"wide grip","bi16_2s_PC_IL.eaf"
00:04:59.060,,,"vert",,"narrow grip","bi16_2s_PC_IL.eaf"
00:05:00.140,,,"vert",,"wide grip","bi16_2s_PC_IL.eaf"
00:05:23.540,,,"none",,"wide grip","bi16_2s_PC_IL.eaf"
00:05:31.690,,,"none",,"neutral grip","bi16_2s_PC_IL.eaf"
00:06:05.300,,,"none",,"narrow grip","bi16_2s_PC_IL.eaf"
00:06:06.070,,,"none",,"neutral grip","bi16_2s_PC_IL.eaf"
00:07:04.500,,,"none",,"neutral grip","bi16_2s_PC_IL.eaf"
00:07:06.050,,,"vert",,"neutral grip","bi16_2s_PC_IL.eaf"
00:07:29.120,,,"vert",,"narrow grip","bi16_2s_PC_IL.eaf"
00:07:33.070,,,"vert",,"narrow grip","bi16_2s_PC_IL.eaf"
00:07:35.300,,,"vert",,"narrow grip","bi16_2s_PC_IL.eaf"
00:08:12.360,,,"vert",,"wide grip","bi16_2s_PC_IL.eaf"
00:08:12.940,,,"vert",,"wide grip","bi16_2s_PC_IL.eaf"
00:01:22.050,,"vert","none","flat H","flat H","bi1_1s_PC_IL.eaf"
00:04:54.480,,"vert","vert","point","point","bi1_1s_PC_IL.eaf"
00:07:27.290,,"vert","vert","flat H","flat H","bi1_1s_PC_IL.eaf"
00:10:34.530,,"vert","vert","flat H","flat H","bi1_1s_PC_IL.eaf"
00:22:52.360,,"vert","vert","neutral grip","open","bi1_1s_PC_IL.eaf"
00:01:11.600,,,"vert",,"flat H","bi1_1s_PC_IL.eaf"
00:03:23.760,,,"vert",,"open","bi1_1s_PC_IL.eaf"
00:03:27.970,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:06:11.440,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:07:08.710,,,"none",,"flat H","bi1_1s_PC_IL.eaf"
00:08:58.460,,,"vert",,"open","bi1_1s_PC_IL.eaf"
00:09:03.020,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:10:43.090,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:13:33.600,,,"none",,"flat H","bi1_1s_PC_IL.eaf"
00:13:42.455,,,"vert",,"flat H","bi1_1s_PC_IL.eaf"
00:15:05.930,,,"vert",,"flat H","bi1_1s_PC_IL.eaf"
00:15:15.720,,,"vert",,"flat H","bi1_1s_PC_IL.eaf"
00:17:17.380,,,"vert",,"open","bi1_1s_PC_IL.eaf"
00:17:21.710,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:18:48.390,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:20:05.330,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:21:02.480,,,"none",,"flat H","bi1_1s_PC_IL.eaf"
00:21:21.090,,,"vert",,"flat H","bi1_1s_PC_IL.eaf"
00:22:56.710,,,"vert",,"point","bi1_1s_PC_IL.eaf"
00:00:41.507,,"vert","vert","flat H","flat H","bi1_2t_AG_PC_IL.eaf"
00:08:27.623,,"none","none","other","other","bi1_2t_AG_PC_IL.eaf"
00:10:22.658,,"vert","vert","flat V","flat V","bi1_2t_AG_PC_IL.eaf"
00:00:24.367,,,"vert",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:01:22.945,,,"vert",,"point","bi1_2t_AG_PC_IL.eaf"
00:01:31.567,,,"vert",,"point","bi1_2t_AG_PC_IL.eaf"
00:03:44.268,,,"vert",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:04:21.630,,,"vert",,"point","bi1_2t_AG_PC_IL.eaf"
00:04:43.920,,,"none",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:05:43.290,,,"none",,"flat V","bi1_2t_AG_PC_IL.eaf"
00:06:01.260,,,"none",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:09:17.287,,,"vert",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:10:36.592,,,"vert",,"point","bi1_2t_AG_PC_IL.eaf"
00:12:02.367,,,"vert",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:13:05.537,,,"none",,"narrow grip","bi1_2t_AG_PC_IL.eaf"
00:13:51.936,,,"vert",,"flat V","bi1_2t_AG_PC_IL.eaf"
00:14:46.150,,,"vert",,"flat H","bi1_2t_AG_PC_IL.eaf"
00:07:33.660,,"none","none","other","open","bi2_2s_PC_IL.eaf"
00:00:15.070,,,"none",,"neutral grip","bi2_2s_PC_IL.eaf"
00:00:19.615,,,"none",,"neutral grip","bi2_2s_PC_IL.eaf"
00:01:06.550,,,"vert",,"open","bi2_2s_PC_IL.eaf"
00:01:15.930,,,"vert",,"flat H","bi2_2s_PC_IL.eaf"
00:01:34.340,,,"none",,"neutral grip","bi2_2s_PC_IL.eaf"
00:01:35.510,,,"none",,"open","bi2_2s_PC_IL.eaf"
00:03:58.265,,,"none",,"other","bi2_2s_PC_IL.eaf"
00:09:05.950,,,"none",,"none","bi2_2s_PC_IL.eaf"
00:10:54.825,,,"vert",,"neutral grip","bi2_2s_PC_IL.eaf"
00:11:29.580,,,"vert",,"flat H","bi2_2s_PC_IL.eaf"
00:11:30.915,,,"vert",,"flat H","bi2_2s_PC_IL.eaf"
00:10:42.780,"At first, looking at the right hand, I considered it as a flat V; but looking at both of the hands and at the gesture in its entirety, I've eventually decided for ""other"".","vert","none","other","other","bi3_1s_PC_IL.eaf"
00:01:06.540,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:01:12.260,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:03:39.500,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:03:44.980,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:04:15.560,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:07:56.080,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:08:19.840,,,"none",,"other","bi3_1s_PC_IL.eaf"
00:08:49.360,,,"none",,"none","bi3_1s_PC_IL.eaf"
00:08:58.540,,,"vert",,"flat V","bi3_1s_PC_IL.eaf"
00:11:31.440,,,"none",,"none","bi3_1s_PC_IL.eaf"
00:12:50.030,,,"vert",,"flat H","bi3_1s_PC_IL.eaf"
00:04:44.925,,"vert",,"flat H",,"bi3_2t_AG_PC_IL.eaf"
00:04:45.533,,"vert",,"open",,"bi3_2t_AG_PC_IL.eaf"
00:07:22.646,,"vert",,"flat H",,"bi3_2t_AG_PC_IL.eaf"
00:02:24.977,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:04:44.927,,"vert","vert","flat H","flat H","bi3_2t_AG_PC_IL.eaf"
00:07:22.648,,"vert","vert","flat H","flat H","bi3_2t_AG_PC_IL.eaf"
00:07:25.238,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:10:57.470,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:12:29.469,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:13:20.186,,,"none",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:14:40.812,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:15:47.194,,,"none",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:15:50.600,,,"none",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:16:46.671,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:17:48.550,,,"vert",,"flat H","bi3_2t_AG_PC_IL.eaf"
00:01:19.550,,"none","size","other","neutral grip","bi4_2s_PC_IL.eaf"
00:00:23.100,,,"size",,"neutral grip","bi4_2s_PC_IL.eaf"
00:01:14.500,,,"size",,"neutral grip","bi4_2s_PC_IL.eaf"
00:02:23.150,,,"none",,"open","bi4_2s_PC_IL.eaf"
00:04:11.500,,,"vert",,"flat V","bi4_2s_PC_IL.eaf"
00:04:13.800,,,"none",,"other","bi4_2s_PC_IL.eaf"
00:05:01.175,,,"vert",,"flat H","bi4_2s_PC_IL.eaf"
00:06:20.280,,,"hori",,"flat H","bi4_2s_PC_IL.eaf"
00:04:22.466,,"vert","vert","flat H","flat H","bi6_1t_AG_PC_IL.eaf"
00:05:57.662,,"vert","vert","flat H","flat H","bi6_1t_AG_PC_IL.eaf"
00:08:25.375,,"vert","vert","flat H","flat H","bi6_1t_AG_PC_IL.eaf"
00:00:24.848,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:00:25.907,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:02:43.509,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:02:46.845,,,"vert",,"open","bi6_1t_AG_PC_IL.eaf"
00:03:02.033,,,"vert",,"other","bi6_1t_AG_PC_IL.eaf"
00:03:07.169,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:03:53.367,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:03:56.402,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:04:17.274,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:05:23.555,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:06:20.211,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:07:01.374,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
00:08:21.912,,,"vert",,"flat H","bi6_1t_AG_PC_IL.eaf"
