File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi10_2s_PC.eaf;00:12:50.160;;;15;1;ljus;Brightness;1;none;none;2;;ljus röst;;
bi11_1s_PC.eaf;00:00:33.200;;;1;;;;;;;;;;;use of thickness in trial 7 and 8
bi11_1s_PC.eaf;00:00:40.140;;;1;1;;Height;;;;;;som är lagom lågt;;use of thickness in trial 7 and 8
bi11_1s_PC.eaf;00:00:40.560;;;1;1;lågt;Height;0;;;;;som är lagom lågt;;use of thickness in trial 7 and 8
bi11_1s_PC.eaf;00:02:25.260;;;2;;;;;;;;;;;
bi11_1s_PC.eaf;00:02:32.980;;;2;1;;Height;;;;;;lite mer en låg ( );;
bi11_1s_PC.eaf;00:02:33.860;;;2;1;låg;Height;1;vert;flat H;1;;lite mer en låg ( );;
bi11_1s_PC.eaf;00:03:23.280;;;3;;;;;;;;;;;
bi11_1s_PC.eaf;00:04:17.440;;;4;;;;;;;;;;;
bi11_1s_PC.eaf;00:04:24.250;;;4;1;;Thickness;;;;;;på den första så lät det som en , den mörkaste tonen på en piano;;
bi11_1s_PC.eaf;00:04:27.235;;;4;1;mörkaste;Thickness;0;;;;;på den första så lät det som en , den mörkaste tonen på en piano;;
bi11_1s_PC.eaf;00:05:06.440;;;4;2;;;;;;;;lite mer () kvinnligt ljust;;
bi11_1s_PC.eaf;00:05:08.100;;;4;2;ljust;Brightness;1;none;other;2;;lite mer () kvinnligt ljust;;
bi11_1s_PC.eaf;00:05:28.900;;;5;;;;;;;;;;;
bi11_1s_PC.eaf;00:05:35.840;;;5;1;;;;;;;;nerförsbacke;;
bi11_1s_PC.eaf;00:05:35.880;;;5;1;nerförsbacke;Height;1;vert;flat H;1;;nerförsbacke;;
