File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi1_1s_PC.eaf;00:15:09.650;;;10;2;;;;;;;;nästa tonläge skulle jag säga är . eh fortfarande () mans() .. bare det är en aning ljusare;;as in T1, handshape changes as she decides on height metaphor
bi1_1s_PC.eaf;00:15:15.720;;;10;2;ljusare;Brightness;1;vert;flat H;1;;nästa tonläge skulle jag säga är . eh fortfarande () mans() .. bare det är en aning ljusare;;as in T1, handshape changes as she decides on height metaphor
bi1_1s_PC.eaf;00:16:48.300;;;11;;;;;;;;;;;
bi1_1s_PC.eaf;00:16:53.400;;;11;1;;;;;;;;manskör eh .. nog ett snepp högre;;
bi1_1s_PC.eaf;00:16:56.640;;;11;1;högre;Height;0;;;;;manskör eh .. nog ett snepp högre;;
bi1_1s_PC.eaf;00:17:15.150;;;11;2;;;;;;;;så att det är ganska uppåtgående;;
bi1_1s_PC.eaf;00:17:17.380;;;11;2;uppåtgående;Height;1;vert;open;1;;så att det är ganska uppåtgående;;
bi1_1s_PC.eaf;00:17:19.200;;;11;3;;;;;;;;och nästa ton är ett snepp ner;;
bi1_1s_PC.eaf;00:17:21.710;;;11;3;ner;Height;1;vert;point;1;;och nästa ton är ett snepp ner;;
bi1_1s_PC.eaf;00:18:15.550;;;12;;;;;;;;;;;
bi1_1s_PC.eaf;00:18:21.850;;;12;1;;;;;;;;lite ängelkör, däruppe;;
bi1_1s_PC.eaf;00:18:24.180;;;12;1;däruppe;Height;0;;;;;lite ängelkör, däruppe;;
bi1_1s_PC.eaf;00:18:46.150;;;12;2;;;;;;;;och sen . så droppar den ner på eh . manskör;;
bi1_1s_PC.eaf;00:18:48.390;;;12;2;droppar ner;Height;1;vert;point;1;;och sen . så droppar den ner på eh . manskör;;
bi1_1s_PC.eaf;00:19:40.750;;;13;;;;;;;;;;;
bi1_1s_PC.eaf;00:19:51.940;;;13;1;;;;;;;;ett snepp högre;;
bi1_1s_PC.eaf;00:19:53.200;;;13;1;högre;Height;0;;;;;ett snepp högre;;
bi1_1s_PC.eaf;00:20:03.650;;;13;2;;;;;;;;ehh och sen två trappsteg ner;;
bi1_1s_PC.eaf;00:20:05.330;;;13;2;ner;Height;1;vert;point;1;;ehh och sen två trappsteg ner;;
bi1_1s_PC.eaf;00:20:54.950;;;14;;;;;;;;;;;
bi1_1s_PC.eaf;00:21:01.650;;;14;1;;;;;;;;mörkt manskör;;
bi1_1s_PC.eaf;00:21:02.480;;;14;1;mörkt;Brightness;1;none;flat H;1;;mörkt manskör;;
bi1_1s_PC.eaf;00:21:20.000;;;14;2;;;;;;;;sen två trappsteg ner därifrån;;
bi1_1s_PC.eaf;00:21:21.090;;;14;2;ner;Height;1;vert;flat H;1;;sen två trappsteg ner därifrån;;
bi1_1s_PC.eaf;00:22:33.000;;;15;;;;;;;;;;;
bi1_1s_PC.eaf;00:22:49.500;;;15;1;;;;;;;;och dom .. har en hög ton;;
bi1_1s_PC.eaf;00:22:52.360;;;15;1;hög;Height;1;vert;open;1;;och dom .. har en hög ton;;
